
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
[M6 x4]       436891           1.826          10.000          -9.000         4368910        1.149713       54.773230
[M6 x3]       326166           2.445           5.000          -4.000         1630830        0.429166       40.891585
[ A x5]        26278          30.354           7.000          -6.000          183946        0.048407        3.294485
[ A x4]        84892           9.396           4.000          -3.000          339568        0.089360       10.642950
[ A x3]       164940           4.836           3.000          -2.000          494820        0.130216       20.678605
[ K x5]        15030          53.070           7.000          -6.000          105210        0.027687        1.884318
[ K x4]        68677          11.614           4.000          -3.000          274708        0.072292        8.610068
[ K x3]       124137           6.425           3.000          -2.000          372411        0.098003       15.563114
[ Q x5]        24599          32.426           7.000          -6.000          172193        0.045314        3.083988
[ Q x4]       113779           7.010           4.000          -3.000          455116        0.119767       14.264527
[ Q x3]       162123           4.920           3.000          -2.000          486369        0.127992       20.325437
[ J x5]        16248          49.091           7.000          -6.000          113736        0.029931        2.037019
[ J x4]        51234          15.568           4.000          -3.000          204936        0.053931        6.423231
[ J x3]        81784           9.753           3.000          -2.000          245352        0.064566       10.253298
[TE x5]            0           0.000           0.000           0.000               0        0.000000        0.000000
[TE x4]            0           0.000           0.000           0.000               0        0.000000        0.000000
[TE x3]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x5]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x4]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x3]            0           0.000           0.000           0.000               0        0.000000        0.000000
[ All ]      4480338         403.980        1172.000       -1142.000        95861374       25.226677      561.702080
=====================================================================================================================
============================================FreeGameMysteryWin=======================================================
=====================================================================================================================
PayComboId      Hits        Pull/Hit         Avg_Pay         Net_Pay        TotalPay    Contri(Pctg)      Hit(Pctg)
=====================================================================================================================
[MY x00]       587931           1.357           0.000           1.000        0.000000        0.000000       73.709186
[MY x01]       181109           4.404         199.685        -198.685 36164682.000000        9.517022       22.705720
[MY x02]        26029          30.644         401.246        -400.246 10444020.000000        2.748426        3.263268
[MY x03]         2402         332.072         601.369        -600.369  1444488.000000        0.380128        0.301140
[MY x04]          155        5146.039         790.968        -789.968   122600.000000        0.032263        0.019432
